t: 181.000000	: 33083.447367	vx: -38256.280326	vy: 4.789222
t: 181.500000	: 33085.841978	vx: -38378.632972	vy: 4.683177
t: 182.000000	: 33088.183567	vx: -38500.728946	vy: 4.579324
t: 182.500000	: 33090.473229	vx: -38622.569836	vy: 4.477620
t: 183.000000	: 33092.712039	vx: -38744.157219	vy: 4.378025
t: 183.500000	: 33094.901052	vx: -38865.492654	vy: 4.280499
t: 184.000000	: 33097.041301	vx: -38986.577690	vy: 4.185003
t: 184.500000	: 33099.133803	vx: -39107.413860	vy: 4.091497
t: 185.000000	: 33101.179551	vx: -39228.002686	vy: 3.999944
t: 185.500000	: 33103.179523	vx: -39348.345674	vy: 3.910307
t: 186.000000	: 33105.134677	vx: -39468.444319	vy: 3.822548
t: 186.500000	: 33107.045951	vx: -39588.300102	vy: 3.736632
t: 187.000000	: 33108.914267	vx: -39707.914491	vy: 3.652523
t: 187.500000	: 33110.740529	vx: -39827.288940	vy: 3.570186
t: 188.000000	: 33112.525622	vx: -39946.424892	vy: 3.489587
t: 188.500000	: 33114.270415	vx: -40065.323776	vy: 3.410692
t: 189.000000	: 33115.975761	vx: -40183.987007	vy: 3.333468
t: 189.500000	: 33117.642495	vx: -40302.415989	vy: 3.257882
t: 190.000000	: 33119.271436	vx: -40420.612114	vy: 3.183902
t: 190.500000	: 33120.863387	vx: -40538.576761	vy: 3.111498
t: 191.000000	: 33122.419136	vx: -40656.311294	vy: 3.040637
t: 191.500000	: 33123.939455	vx: -40773.817069	vy: 2.971291
t: 192.000000	: 33125.425100	vx: -40891.095426	vy: 2.903428
t: 192.500000	: 33126.876814	vx: -41008.147696	vy: 2.837019
t: 193.000000	: 33128.295324	vx: -41124.975196	vy: 2.772036
t: 193.500000	: 33129.681342	vx: -41241.579231	vy: 2.708451
t: 194.000000	: 33131.035567	vx: -41357.961096	vy: 2.646236
t: 194.500000	: 33132.358685	vx: -41474.122073	vy: 2.585363
t: 195.000000	: 33133.651367	vx: -41590.063433	vy: 2.525806
t: 195.500000	: 33134.914270	vx: -41705.786434	vy: 2.467538
t: 196.000000	: 33136.148039	vx: -41821.292324	vy: 2.410534
t: 196.500000	: 33137.353306	vx: -41936.582340	vy: 2.354768
t: 197.000000	: 33138.530690	vx: -42051.657707	vy: 2.300215
t: 197.500000	: 33139.680798	vx: -42166.519640	vy: 2.246852
t: 198.000000	: 33140.804223	vx: -42281.169340	vy: 2.194653
t: 198.500000	: 33141.901550	vx: -42395.608002	vy: 2.143595
t: 199.000000	: 33142.973348	vx: -42509.836806	vy: 2.093656
t: 199.500000	: 33144.020176	vx: -42623.856923	vy: 2.044812
