t: 130.000000	: 25624.260597	vx: -19519.224415	vy: 64.345681
t: 130.500000	: 25656.433438	vx: -19751.300119	vy: 63.742646
t: 131.000000	: 25688.304761	vx: -19983.653355	vy: 63.144666
t: 131.500000	: 25719.877094	vx: -20216.279349	vy: 62.551716
t: 132.000000	: 25751.152952	vx: -20449.173404	vy: 61.963768
t: 132.500000	: 25782.134836	vx: -20682.330897	vy: 61.380796
t: 133.000000	: 25812.825234	vx: -20915.747279	vy: 60.802772
t: 133.500000	: 25843.226620	vx: -21149.418076	vy: 60.229669
t: 134.000000	: 25873.341455	vx: -21383.338885	vy: 59.661459
t: 134.500000	: 25903.172184	vx: -21617.505371	vy: 59.098114
t: 135.000000	: 25932.721241	vx: -21851.913274	vy: 58.539606
t: 135.500000	: 25961.991045	vx: -22086.558401	vy: 57.985907
t: 136.000000	: 25990.983998	vx: -22321.436626	vy: 57.436987
t: 136.500000	: 26019.702491	vx: -22556.543891	vy: 56.892818
t: 137.000000	: 26048.148900	vx: -22791.876205	vy: 56.353371
t: 137.500000	: 26076.325586	vx: -23027.429642	vy: 55.818616
t: 138.000000	: 26104.234894	vx: -23263.200340	vy: 55.288525
t: 138.500000	: 26131.879157	vx: -23499.184501	vy: 54.763068
t: 139.000000	: 26159.260691	vx: -23735.378389	vy: 54.242215
t: 139.500000	: 26186.381798	vx: -23971.778330	vy: 53.725936
t: 140.000000	: 26213.244766	vx: -24208.380710	vy: 53.214202
t: 140.500000	: 26239.851867	vx: -24445.181977	vy: 52.706983
t: 141.000000	: 26266.205358	vx: -24682.178636	vy: 52.204248
t: 141.500000	: 26292.307482	vx: -24919.367251	vy: 51.705968
t: 142.000000	: 26318.160466	vx: -25156.744443	vy: 51.212112
t: 142.500000	: 26343.766522	vx: -25394.306889	vy: 50.722650
t: 143.000000	: 26369.127847	vx: -25632.051324	vy: 50.237552
t: 143.500000	: 26394.246623	vx: -25869.974534	vy: 49.756788
t: 144.000000	: 26419.125017	vx: -26108.073362	vy: 49.280327
t: 144.500000	: 26443.765180	vx: -26346.344703	vy: 48.808138
t: 145.000000	: 26468.169249	vx: -26584.785504	vy: 48.340192
t: 145.500000	: 26492.339346	vx: -26823.392764	vy: 47.876459
t: 146.000000	: 26516.277575	vx: -27062.163533	vy: 47.416906
t: 146.500000	: 26539.986028	vx: -27301.094911	vy: 46.961505
t: 147.000000	: 26563.466781	vx: -27540.184046	vy: 46.510225
t: 147.500000	: 26586.721893	vx: -27779.428137	vy: 46.063036
t: 148.000000	: 26609.753411	vx: -28018.824427	vy: 45.619906
t: 148.500000	: 26632.563364	vx: -28258.370210	vy: 45.180807
t: 149.000000	: 26655.153768	vx: -28498.062822	vy: 44.745707
t: 149.500000	: 26677.526621	vx: -28737.899649	vy: 44.314577
t: 150.000000	: 26699.683909	vx: -28977.878119	vy: 43.887385
t: 150.500000	: 26721.627602	vx: -29217.995704	vy: 43.464104
t: 151.000000	: 26743.359654	vx: -29458.249920	vy: 43.044701
t: 151.500000	: 26764.882004	vx: -29698.638326	vy: 42.629147
t: 152.000000	: 26786.196578	vx: -29939.158523	vy: 42.217413
t: 152.500000	: 26807.305285	vx: -30179.808153	vy: 41.809469
t: 153.000000	: 26828.210019	vx: -30420.584899	vy: 41.405284
t: 153.500000	: 26848.912661	vx: -30661.486483	vy: 41.004829
t: 154.000000	: 26869.415076	vx: -30902.510669	vy: 40.608076
t: 154.500000	: 26889.719113	vx: -31143.655256	vy: 40.214993
t: 155.000000	: 26909.826610	vx: -31384.918084	vy: 39.825552
t: 155.500000	: 26929.739386	vx: -31626.297030	vy: 39.439724
t: 156.000000	: 26949.459248	vx: -31867.790007	vy: 39.057479
t: 156.500000	: 26968.987987	vx: -32109.394965	vy: 38.678789
t: 157.000000	: 26988.327382	vx: -32351.109890	vy: 38.303624
t: 157.500000	: 27007.479194	vx: -32592.932802	vy: 37.931956
t: 158.000000	: 27026.445172	vx: -32834.861757	vy: 37.563756
t: 158.500000	: 27045.227050	vx: -33076.894845	vy: 37.198996
t: 159.000000	: 27063.826548	vx: -33319.030187	vy: 36.837647
t: 159.500000	: 27082.245372	vx: -33561.265939	vy: 36.479681
t: 160.000000	: 27100.485212	vx: -33803.600290	vy: 36.125070
t: 160.500000	: 27118.547747	vx: -34046.031459	vy: 35.773785
t: 161.000000	: 27136.434640	vx: -34288.557697	vy: 35.425799
t: 161.500000	: 27154.147539	vx: -34531.177285	vy: 35.081084
t: 162.000000	: 27171.688081	vx: -34773.888537	vy: 34.739613
t: 162.500000	: 27189.057888	vx: -35016.689793	vy: 34.401358
t: 163.000000	: 27206.258567	vx: -35259.579425	vy: 34.066292
t: 163.500000	: 27223.291713	vx: -35502.555831	vy: 33.734387
t: 164.000000	: 27240.158906	vx: -35745.617441	vy: 33.405617
t: 164.500000	: 27256.861715	vx: -35988.762710	vy: 33.079954
t: 165.000000	: 27273.401692	vx: -36231.990121	vy: 32.757373
t: 165.500000	: 27289.780378	vx: -36475.298184	vy: 32.437846
t: 166.000000	: 27305.999302	vx: -36718.685435	vy: 32.121347
t: 166.500000	: 27322.059975	vx: -36962.150437	vy: 31.807851
t: 167.000000	: 27337.963901	vx: -37205.691777	vy: 31.497330
t: 167.500000	: 27353.712565	vx: -37449.308069	vy: 31.189758
t: 168.000000	: 27369.307445	vx: -37692.997949	vy: 30.885111
t: 168.500000	: 27384.750000	vx: -37936.760080	vy: 30.583363
t: 169.000000	: 27400.041682	vx: -38180.593147	vy: 30.284487
t: 169.500000	: 27415.183925	vx: -38424.495860	vy: 29.988460
t: 170.000000	: 27430.178155	vx: -38668.466950	vy: 29.695255
t: 170.500000	: 27445.025783	vx: -38912.505172	vy: 29.404848
t: 171.000000	: 27459.728207	vx: -39156.609302	vy: 29.117214
t: 171.500000	: 27474.286814	vx: -39400.778141	vy: 28.832328
t: 172.000000	: 27488.702978	vx: -39645.010507	vy: 28.550166
t: 172.500000	: 27502.978061	vx: -39889.305242	vy: 28.270704
t: 173.000000	: 27517.113413	vx: -40133.661209	vy: 27.993918
t: 173.500000	: 27531.110372	vx: -40378.077289	vy: 27.719783
t: 174.000000	: 27544.970263	vx: -40622.552385	vy: 27.448276
t: 174.500000	: 27558.694401	vx: -40867.085420	vy: 27.179373
t: 175.000000	: 27572.284087	vx: -41111.675334	vy: 26.913050
t: 175.500000	: 27585.740612	vx: -41356.321089	vy: 26.649286
t: 176.000000	: 27599.065255	vx: -41601.021663	vy: 26.388056
t: 176.500000	: 27612.259283	vx: -41845.776053	vy: 26.129337
t: 177.000000	: 27625.323951	vx: -42090.583277	vy: 25.873107
t: 177.500000	: 27638.260505	vx: -42335.442365	vy: 25.619343
t: 178.000000	: 27651.070176	vx: -42580.352370	vy: 25.368022
t: 178.500000	: 27663.754187	vx: -42825.312360	vy: 25.119123
t: 179.000000	: 27676.313749	vx: -43070.321417	vy: 24.872623
t: 179.500000	: 27688.750060	vx: -43315.378645	vy: 24.628501
t: 180.000000	: 27701.064311	vx: -43560.483159	vy: 24.386734
t: 180.500000	: 27713.257678	vx: -43805.634094	vy: 24.147301
t: 181.000000	: 27725.331329	vx: -44050.830598	vy: 23.910181
t: 181.500000	: 27737.286419	vx: -44296.071834	vy: 23.675352
t: 182.000000	: 27749.124095	vx: -44541.356984	vy: 23.442793
t: 182.500000	: 27760.845492	vx: -44786.685240	vy: 23.212484
t: 183.000000	: 27772.451734	vx: -45032.055812	vy: 22.984402
t: 183.500000	: 27783.943935	vx: -45277.467923	vy: 22.758529
t: 184.000000	: 27795.323200	vx: -45522.920810	vy: 22.534843
t: 184.500000	: 27806.590621	vx: -45768.413723	vy: 22.313325
t: 185.000000	: 27817.747284	vx: -46013.945928	vy: 22.093953
t: 185.500000	: 27828.794260	vx: -46259.516702	vy: 21.876708
t: 186.000000	: 27839.732614	vx: -46505.125337	vy: 21.661571
t: 186.500000	: 27850.563400	vx: -46750.771135	vy: 21.448521
t: 187.000000	: 27861.287660	vx: -46996.453415	vy: 21.237540
t: 187.500000	: 27871.906430	vx: -47242.171504	vy: 21.028607
t: 188.000000	: 27882.420734	vx: -47487.924744	vy: 20.821704
t: 188.500000	: 27892.831585	vx: -47733.712487	vy: 20.616811
t: 189.000000	: 27903.139991	vx: -47979.534099	vy: 20.413911
t: 189.500000	: 27913.346947	vx: -48225.388956	vy: 20.212984
t: 190.000000	: 27923.453439	vx: -48471.276446	vy: 20.014011
t: 190.500000	: 27933.460444	vx: -48717.195968	vy: 19.816975
t: 191.000000	: 27943.368931	vx: -48963.146932	vy: 19.621856
t: 191.500000	: 27953.179860	vx: -49209.128757	vy: 19.428638
t: 192.000000	: 27962.894179	vx: -49455.140876	vy: 19.237302
t: 192.500000	: 27972.512830	vx: -49701.182730	vy: 19.047830
t: 193.000000	: 27982.036745	vx: -49947.253770	vy: 18.860205
t: 193.500000	: 27991.466847	vx: -50193.353459	vy: 18.674409
t: 194.000000	: 28000.804051	vx: -50439.481267	vy: 18.490425
t: 194.500000	: 28010.049264	vx: -50685.636677	vy: 18.308236
t: 195.000000	: 28019.203382	vx: -50931.819178	vy: 18.127825
t: 195.500000	: 28028.267294	vx: -51178.028271	vy: 17.949174
t: 196.000000	: 28037.241881	vx: -51424.263464	vy: 17.772268
t: 196.500000	: 28046.128016	vx: -51670.524277	vy: 17.597090
t: 197.000000	: 28054.926560	vx: -51916.810235	vy: 17.423623
t: 197.500000	: 28063.638372	vx: -52163.120875	vy: 17.251850
t: 198.000000	: 28072.264297	vx: -52409.455739	vy: 17.081757
t: 198.500000	: 28080.805175	vx: -52655.814382	vy: 16.913326
t: 199.000000	: 28089.261838	vx: -52902.196363	vy: 16.746542
t: 199.500000	: 28097.635109	vx: -53148.601250	vy: 16.581390
