i: 186	t: 0.006200	in: -0.657801	or: 0.269886	oi: -0.471568
i: 187	t: 0.006233	in: -0.958617	or: 0.271111	oi: -0.467668
i: 188	t: 0.006267	in: -1.199199	or: 0.272305	oi: -0.463816
i: 189	t: 0.006300	in: -1.360882	or: 0.273480	oi: -0.460002
i: 190	t: 0.006333	in: -1.430227	or: 0.274640	oi: -0.456230
i: 191	t: 0.006367	in: -1.400116	or: 0.275777	oi: -0.452477
i: 192	t: 0.006400	in: -1.270408	or: 0.276915	oi: -0.448782
i: 193	t: 0.006433	in: -1.048103	or: 0.278003	oi: -0.445108
i: 194	t: 0.006467	in: -0.746989	or: 0.279092	oi: -0.441460
i: 195	t: 0.006500	in: -0.386791	or: 0.280149	oi: -0.437860
i: 196	t: 0.006533	in: 0.008134	or: 0.281193	oi: -0.434287
i: 197	t: 0.006567	in: 0.410452	or: 0.282241	oi: -0.430757
i: 198	t: 0.006600	in: 0.791767	or: 0.283252	oi: -0.427255
i: 199	t: 0.006633	in: 1.124637	or: 0.284244	oi: -0.423762
i: 200	t: 0.006667	in: 1.384566	or: 0.285219	oi: -0.420304
i: 201	t: 0.006700	in: 1.551814	or: 0.286183	oi: -0.416897
i: 202	t: 0.006733	in: 1.612896	or: 0.287144	oi: -0.413524
i: 203	t: 0.006767	in: 1.561655	or: 0.288067	oi: -0.410157
i: 204	t: 0.006800	in: 1.399826	or: 0.288988	oi: -0.406825
i: 205	t: 0.006833	in: 1.137039	or: 0.289891	oi: -0.403526
i: 206	t: 0.006867	in: 0.790255	or: 0.290771	oi: -0.400255
i: 207	t: 0.006900	in: 0.382667	or: 0.291666	oi: -0.396997
i: 208	t: 0.006933	in: -0.057867	or: 0.292523	oi: -0.393788
i: 209	t: 0.006967	in: -0.500741	or: 0.293363	oi: -0.390588
i: 210	t: 0.007000	in: -0.914749	or: 0.294217	oi: -0.387418
i: 211	t: 0.007033	in: -1.270299	or: 0.295035	oi: -0.384279
i: 212	t: 0.007067	in: -1.541551	or: 0.295840	oi: -0.381167
i: 213	t: 0.007100	in: -1.708299	or: 0.296638	oi: -0.378076
i: 214	t: 0.007133	in: -1.757484	or: 0.297423	oi: -0.375001
i: 215	t: 0.007167	in: -1.684211	or: 0.298191	oi: -0.371952
i: 216	t: 0.007200	in: -1.492193	or: 0.298956	oi: -0.368941
i: 217	t: 0.007233	in: -1.193586	or: 0.299698	oi: -0.365937
i: 218	t: 0.007267	in: -0.808216	or: 0.300438	oi: -0.362966
i: 219	t: 0.007300	in: -0.362255	or: 0.301161	oi: -0.360004
i: 220	t: 0.007333	in: 0.113571	or: 0.301881	oi: -0.357088
i: 221	t: 0.007367	in: 0.586125	or: 0.302588	oi: -0.354167
i: 222	t: 0.007400	in: 1.022176	or: 0.303276	oi: -0.351280
i: 223	t: 0.007433	in: 1.390767	or: 0.303987	oi: -0.348416
i: 224	t: 0.007467	in: 1.665422	or: 0.304648	oi: -0.345557
i: 225	t: 0.007500	in: 1.826067	or: 0.305303	oi: -0.342735
i: 226	t: 0.007533	in: 1.860501	or: 0.305973	oi: -0.339926
i: 227	t: 0.007567	in: 1.765325	or: 0.306616	oi: -0.337146
i: 228	t: 0.007600	in: 1.546251	or: 0.307250	oi: -0.334373
i: 229	t: 0.007633	in: 1.217758	or: 0.307868	oi: -0.331636
i: 230	t: 0.007667	in: 0.802135	or: 0.308487	oi: -0.328902
i: 231	t: 0.007700	in: 0.327949	or: 0.309094	oi: -0.326175
i: 232	t: 0.007733	in: -0.171933	or: 0.309698	oi: -0.323494
i: 233	t: 0.007767	in: -0.662641	or: 0.310275	oi: -0.320811
i: 234	t: 0.007800	in: -1.109759	or: 0.310867	oi: -0.318154
i: 235	t: 0.007833	in: -1.481759	or: 0.311430	oi: -0.315517
i: 236	t: 0.007867	in: -1.752241	or: 0.312005	oi: -0.312890
i: 237	t: 0.007900	in: -1.901824	or: 0.312565	oi: -0.310278
i: 238	t: 0.007933	in: -1.919541	or: 0.313121	oi: -0.307689
i: 239	t: 0.007967	in: -1.803653	or: 0.313647	oi: -0.305115
i: 240	t: 0.008000	in: -1.561801	or: 0.314182	oi: -0.302566
i: 241	t: 0.008033	in: -1.210500	or: 0.314716	oi: -0.300010
i: 242	t: 0.008067	in: -0.774003	or: 0.315230	oi: -0.297491
i: 243	t: 0.008100	in: -0.282608	or: 0.315744	oi: -0.294979
i: 244	t: 0.008133	in: 0.229460	or: 0.316251	oi: -0.292486
i: 245	t: 0.008167	in: 0.726457	or: 0.316749	oi: -0.289998
i: 246	t: 0.008200	in: 1.173635	or: 0.317242	oi: -0.287540
i: 247	t: 0.008233	in: 1.539693	or: 0.317720	oi: -0.285087
i: 248	t: 0.008267	in: 1.798987	or: 0.318189	oi: -0.282644
i: 249	t: 0.008300	in: 1.933344	or: 0.318672	oi: -0.280225
i: 250	t: 0.008333	in: 1.933343	or: 0.319124	oi: -0.277814
i: 251	t: 0.008367	in: 1.798985	or: 0.319586	oi: -0.275417
i: 252	t: 0.008400	in: 1.539688	or: 0.320030	oi: -0.273029
i: 253	t: 0.008433	in: 1.173629	or: 0.320477	oi: -0.270665
i: 254	t: 0.008467	in: 0.726450	or: 0.320912	oi: -0.268305
i: 255	t: 0.008500	in: 0.229453	or: 0.321354	oi: -0.265965
i: 256	t: 0.008533	in: -0.282616	or: 0.321774	oi: -0.263633
i: 257	t: 0.008567	in: -0.774010	or: 0.322197	oi: -0.261324
i: 258	t: 0.008600	in: -1.210506	or: 0.322598	oi: -0.259008
i: 259	t: 0.008633	in: -1.561805	or: 0.323009	oi: -0.256714
i: 260	t: 0.008667	in: -1.803655	or: 0.323410	oi: -0.254442
i: 261	t: 0.008700	in: -1.919542	or: 0.323827	oi: -0.252173
i: 262	t: 0.008733	in: -1.901822	or: 0.324212	oi: -0.249904
i: 263	t: 0.008767	in: -1.752238	or: 0.324582	oi: -0.247663
i: 264	t: 0.008800	in: -1.481755	or: 0.324974	oi: -0.245430
i: 265	t: 0.008833	in: -1.109753	or: 0.325348	oi: -0.243198
i: 266	t: 0.008867	in: -0.662634	or: 0.325730	oi: -0.240984
i: 267	t: 0.008900	in: -0.171926	or: 0.326086	oi: -0.238784
i: 268	t: 0.008933	in: 0.327955	or: 0.326446	oi: -0.236590
i: 269	t: 0.008967	in: 0.802141	or: 0.326801	oi: -0.234410
i: 270	t: 0.009000	in: 1.217764	or: 0.327150	oi: -0.232238
i: 271	t: 0.009033	in: 1.546255	or: 0.327504	oi: -0.230082
i: 272	t: 0.009067	in: 1.765328	or: 0.327843	oi: -0.227934
i: 273	t: 0.009100	in: 1.860501	or: 0.328166	oi: -0.225789
i: 274	t: 0.009133	in: 1.826066	or: 0.328505	oi: -0.223668
i: 275	t: 0.009167	in: 1.665419	or: 0.328835	oi: -0.221539
i: 276	t: 0.009200	in: 1.390763	or: 0.329153	oi: -0.219436
i: 277	t: 0.009233	in: 1.022171	or: 0.329492	oi: -0.217329
i: 278	t: 0.009267	in: 0.586118	or: 0.329792	oi: -0.215240
i: 279	t: 0.009300	in: 0.113565	or: 0.330096	oi: -0.213151
i: 280	t: 0.009333	in: -0.362262	or: 0.330405	oi: -0.211078
i: 281	t: 0.009367	in: -0.808222	or: 0.330703	oi: -0.209015
i: 282	t: 0.009400	in: -1.193591	or: 0.331000	oi: -0.206958
i: 283	t: 0.009433	in: -1.492197	or: 0.331289	oi: -0.204914
i: 284	t: 0.009467	in: -1.684213	or: 0.331587	oi: -0.202876
i: 285	t: 0.009500	in: -1.757484	or: 0.331869	oi: -0.200845
i: 286	t: 0.009533	in: -1.708297	or: 0.332155	oi: -0.198824
i: 287	t: 0.009567	in: -1.541548	or: 0.332433	oi: -0.196803
i: 288	t: 0.009600	in: -1.270295	or: 0.332701	oi: -0.194794
i: 289	t: 0.009633	in: -0.914743	or: 0.332972	oi: -0.192793
i: 290	t: 0.009667	in: -0.500735	or: 0.333240	oi: -0.190809
i: 291	t: 0.009700	in: -0.057861	or: 0.333486	oi: -0.188821
i: 292	t: 0.009733	in: 0.382673	or: 0.333768	oi: -0.186855
i: 293	t: 0.009767	in: 0.790261	or: 0.334007	oi: -0.184878
i: 294	t: 0.009800	in: 1.137044	or: 0.334259	oi: -0.182917
i: 295	t: 0.009833	in: 1.399829	or: 0.334507	oi: -0.180952
i: 296	t: 0.009867	in: 1.561657	or: 0.334751	oi: -0.179014
i: 297	t: 0.009900	in: 1.612896	or: 0.334997	oi: -0.177076
i: 298	t: 0.009933	in: 1.551813	or: 0.335234	oi: -0.175145
i: 299	t: 0.009967	in: 1.384563	or: 0.335472	oi: -0.173231
i: 300	t: 0.010000	in: 1.124633	or: 0.335690	oi: -0.171295
i: 301	t: 0.010033	in: 0.791762	or: 0.335918	oi: -0.169388
i: 302	t: 0.010067	in: 0.410446	or: 0.336141	oi: -0.167493
i: 303	t: 0.010100	in: 0.008128	or: 0.336365	oi: -0.165581
i: 304	t: 0.010133	in: -0.386796	or: 0.336572	oi: -0.163694
i: 305	t: 0.010167	in: -0.746994	or: 0.336804	oi: -0.161799
i: 306	t: 0.010200	in: -1.048107	or: 0.337003	oi: -0.159919
i: 307	t: 0.010233	in: -1.270411	or: 0.337216	oi: -0.158054
i: 308	t: 0.010267	in: -1.400117	or: 0.337425	oi: -0.156182
i: 309	t: 0.010300	in: -1.430227	or: 0.337617	oi: -0.154325
i: 310	t: 0.010333	in: -1.360881	or: 0.337826	oi: -0.152469
i: 311	t: 0.010367	in: -1.199197	or: 0.338017	oi: -0.150609
i: 312	t: 0.010400	in: -0.958613	or: 0.338211	oi: -0.148767
i: 313	t: 0.010433	in: -0.657797	or: 0.338385	oi: -0.146932
i: 314	t: 0.010467	in: -0.319198	or: 0.338593	oi: -0.145097
i: 315	t: 0.010500	in: 0.032629	or: 0.338764	oi: -0.143265
i: 316	t: 0.010533	in: 0.372816	or: 0.338948	oi: -0.141444
